Chr	Start	End	Cytoband	Gene	RefSeqName
1	33772366.0	33786699.0	p35.1	A3GALT2	NM_001080438
1	12776117.0	12788726.0	p36.21	AADACL3	NR_111984
1	12704565.0	12727097.0	p36.21	AADACL4	NM_001013630
1	94458393.0	94586705.0	p22.1	ABCA4	NM_000350
1	94883932.0	94984219.0	p21.3	ABCD3	NM_002858
1	76190031.0	76229363.0	p31.1	ACADM	NM_001286044
1	55013806.0	55100417.0	p32.3	ACOT11	NM_015547
1	6324331.0	6453826.0	p36.31	ACOT7	NM_007274
1	27650364.0	27653016.0	p36.11	ACTG1P20	NR_033926
1	104112025.0	104114008.0	p21.1	ACTG1P4	NR_024438
1	18081807.0	18153558.0	p36.13	ACTL8	NM_030812
1	120436155.0	120439147.0	p12	ADAM30	NM_021794
1	32192705.0	32229664.0	p35.2	ADGRB2	NM_001294336
1	82165454.0	82459616.0	p31.1	ADGRL2	NM_001297704
1	79355448.0	79472495.0	p31.1	ADGRL4	NM_022159
1	112042050.0	112046743.0	p13.2	ADORA3	NM_001302678
1	36554452.0	36559533.0	p34.3	ADPRHL2	NM_017825
1	48998526.0	50489626.0	p33	AGBL4	NR_136623
1	49839872.0	49937757.0	p33	AGBL4-IT1	NR_046839
1	100315639.0	100389579.0	p21.2	AGL	NM_000642
1	15898193.0	15911605.0	p36.21	AGMAT	NM_024758
1	36335408.0	36389899.0	p34.3	AGO1	NM_001317123
1	36396682.0	36522063.0	p34.3	AGO3	NM_024852
1	36273224.0	36323490.0	p34.3	AGO4	NR_146062
1	11796141.0	11810828.0	p36.22	AGTRAP	NM_020350
1	110527386.0	110566364.0	p13.3	AHCYL1	NM_001242673
1	27860755.0	27930005.0	p36.11	AHDC1	NM_001029882
1	4715104.0	4843851.0	p36.32	AJAP1	NM_018836
1	33473540.0	33502512.0	p35.1	AK2	NR_134976
1	65613231.0	65697828.0	p31.3	AK4	NM_203464
1	77747661.0	78025654.0	p31.1	AK5	NM_174858
1	39456915.0	39471737.0	p34.3	AKIRIN1	NM_024595
1	109358519.0	109400864.0	p13.3	AKNAD1	NR_049760
1	46016454.0	46035723.0	p34.1	AKR1A1	NM_153326
1	19629201.0	19638640.0	p36.13	AKR7A2	NM_001320979
1	113465971.0	113467295.0	p13.2	AKR7A2P1	NR_002796
1	19609056.0	19615280.0	p36.13	AKR7A3	NM_012067
1	19592475.0	19600616.0	p36.13	AKR7L	NM_001348421
1	19197923.0	19229293.0	p36.13	ALDH4A1	NM_001319218
1	95448278.0	95538507.0	p21.3	ALG14	NM_001305242
1	63833260.0	63904233.0	p31.3	ALG6	NM_013339
1	21835850.0	21904905.0	p36.12	ALPL	NM_001177520
1	110602996.0	110613322.0	p13.3	ALX3	NM_006492
1	110046796.0	110052373.0	p13.3	AMIGO1	NM_020703
1	115215719.0	115238239.0	p13.2	AMPD1	NM_001172626
1	110162434.0	110174677.0	p13.3	AMPD2	NM_001257360
1	104230039.0	104239073.0	p21.1	AMY1A	NM_001008221
1	104230040.0	104238889.0	p21.1	AMY1B	NM_001008218
1	104230036.0	104239076.0	p21.1	AMY1C	NM_001346780
1	104159953.0	104168402.0	p21.1	AMY2A	NM_000699
1	104097265.0	104122156.0	p21.1	AMY2B	NM_020978
